
   Трасса полёта КА

__НУ КА-314_________________________________________________
 Номер-15 Тип-8 Мод-0 БЦ-1  Номер ЛШС-1
 Дата  20.06.2018   Время  07:44:33.3710   Виток 2112  
____________________________________________________________
             АСК-2000             ГСК            АСК-ИстЭ
 X,   км    1296.451272      -1184.470898       1268.907161
 Y,   км    6767.318954       6787.814426       6772.537974
 Z,   км      -2.067149         -0.000000         -0.000000
 Vx, м/с     980.475416       1468.439140        967.926016
 Vy, м/с    -195.112640        246.689516       -190.925326
 Vz, м/с    7541.740455       7543.468487       7543.468487
____________________________________________________________
             ОСК-2000          ОСК-ИстЭ
 a,   км    6893.775093       6893.775093
 e,            0.001331151       0.001331151
 i, град      97.550672         97.450832
 W, град      79.152666         79.388058
 w, град      68.368732         68.386071
 u, град     359.982661          0.000000
____________________________________________________________
Sбал  0.001442 (кг.м2)  Масса  950.0000 (кг)  
____________________________________________________________

______ЛШС - 1_______________________________________________
 Мод ГПЗ- 4 (04x04)
 Мод Атм- 0 Мод СвД- 0 Учт  ДУ- 0 
 Учт СОЛ- 0 Учт ЛУН- 0 Учт ПРЛ- 0
____________________________________________________________
____________________________________________________________________________________________
  Дата       Время         Долгота,        Широта,          Высота,        Уг. места Солнца,
                           град            град             км             град
____________________________________________________________________________________________
 20.06.2018 15:35:33,3710  343,82306502   -12,64498306       514.951666    053.13.13,6071
 20.06.2018 15:38:33,3710  341,56724306    -1,29159559       512.392454    063.42.57,8125
 20.06.2018 15:41:33,3710  339,32407473    10,06964216       511.230957    073.08.24,1202
 20.06.2018 15:44:33,3710  336,97111856    21,41943275       511.449467    078.26.37,4416
 20.06.2018 15:47:33,3710  334,34706452    32,73727976       512.819633    074.32.11,8055
 20.06.2018 15:50:33,3710  331,17604651    43,99806061       514.947502    065.28.50,7865
 20.06.2018 15:53:33,3710  326,86771875    55,15970669       517.344112    055.04.27,1058
 20.06.2018 15:56:33,3710  319,80001831    66,11451841       519.509052    044.13.51,6722
 20.06.2018 15:59:33,3710  303,55434730    76,41215436       521.013119    033.12.16,0354
 20.06.2018 16:02:33,3710  245,96857284    82,58142949       521.567440    022.05.20,9677
 20.06.2018 16:05:33,3710  187,59033452    76,53503973       521.069188    010.55.47,5204
 20.06.2018 16:08:33,3710  171,11390945    66,25455262       519.617714   -000.14.49,7962
 20.06.2018 16:11:33,3710  163,98817319    55,30429861       517.498856   -011.25.19,8812
 20.06.2018 16:14:33,3710  159,65831634    44,14490181       515.139392   -022.34.31,1624
 20.06.2018 16:17:33,3710  156,47749877    32,88568107       513.037815   -033.40.47,4559
 20.06.2018 16:20:33,3710  153,84861908    21,56906717       511.681479   -044.41.23,6292
 20.06.2018 16:23:33,3710  151,49346951    10,22025563       511.463108   -055.30.27,9199
 20.06.2018 16:26:33,3710  149,24987371    -1,14026031       512.610654   -065.52.11,1020
 20.06.2018 16:29:33,3710  146,99520760   -12,49320119       515.142966   -074.48.50,2602
 20.06.2018 16:32:33,3710  144,60323552   -23,81950422       518.859390   -078.24.05,0581
 20.06.2018 16:35:33,3710  141,89817772   -35,09907936       523.365218   -072.51.50,0204
 20.06.2018 16:38:33,3710  138,56575094   -46,30631455       528.128309   -063.24.02,4351
 20.06.2018 16:41:33,3710  133,90391980   -57,39415401       532.556885   -052.54.36,7507
 20.06.2018 16:44:33,3710  125,87198019   -68,22864866       536.085641   -042.04.04,8407
 20.06.2018 16:47:33,3710  105,68426788   -78,17742774       538.257016   -031.04.23,3370
 20.06.2018 16:50:33,3710   37,87382107   -82,30400271       538.786216   -020.00.10,0719
 20.06.2018 16:53:33,3710  351,21303557   -74,76717446       537.601472   -008.53.38,1336
 20.06.2018 16:56:33,3710  337,61761635   -64,33104162       534.854480    002.13.53,7110
 20.06.2018 16:59:33,3710  331,23689045   -53,37560370       530.899622    013.21.24,1875
 20.06.2018 17:02:33,3710  327,18747997   -42,23546658       526.244289    024.27.46,9069
 20.06.2018 17:05:33,3710  324,13545694   -30,99758563       521.476526    035.31.24,5633
 20.06.2018 17:08:33,3710  321,57061539   -19,69786616       517.179752    046.29.17,8091
 20.06.2018 17:11:33,3710  319,24511963    -8,35899728       513.847167    057.14.43,2288
 20.06.2018 17:14:33,3710  317,00802581     2,99954120       511.809535    067.28.33,9294
 20.06.2018 17:17:33,3710  314,73894064    14,35866430       511.188713    075.57.10,6195
 20.06.2018 17:20:33,3710  312,30659383    25,69879884       511.885219    078.01.36,8996
 20.06.2018 17:23:33,3710  309,51885690    36,99837166       513.602031    071.24.18,5924
 20.06.2018 17:26:33,3710  306,01754997    48,22823033       515.900068    061.37.57,0725
 20.06.2018 17:29:33,3710  300,96642278    59,33144707       518.275216    051.00.39,1898
 20.06.2018 17:32:33,3710  291,77775212    70,13488042       520.243498    040.04.54,8827
 20.06.2018 17:35:33,3710  266,25574838    79,72306785       521.420512    029.00.53,8019
 20.06.2018 17:38:33,3710  191,71787083    81,47757507       521.583074    017.52.46,4199
 20.06.2018 17:41:33,3710  155,53290487    72,80821751       520.704315    006.42.41,0600
 20.06.2018 17:44:33,3710  144,16911524    62,15942581       518.957561   -004.28.00,0516
 20.06.2018 17:47:33,3710  138,43607455    51,10798241       516.688587   -015.38.08,1307
 20.06.2018 17:50:33,3710  134,64857897    39,90384311       514.360086   -026.46.25,6836
 20.06.2018 17:53:33,3710  131,72209473    28,61955536       512.476154   -037.50.57,8151
 20.06.2018 17:56:33,3710  129,22075206    17,28836757       511.497982   -048.48.10,2651
 20.06.2018 17:59:33,3710  126,92373981     5,93294799       511.764069   -059.29.46,7396
 20.06.2018 18:02:33,3710  124,68997832    -5,42687239       513.428483   -069.30.58,5915
 20.06.2018 18:05:33,3710  122,40007740   -16,77198224       516.428222   -077.10.40,1391
